LGA_CODE_2016,LGA,Highest_year_of_school_completed_Year_12_or_equivalent_Males,Highest_year_of_school_completed_Year_12_or_equivalent_Females,Highest_year_of_school_completed_Year_12_or_equivalent_Persons,Highest_year_of_school_completed_Year_11_or_equivalent_Males,Highest_year_of_school_completed_Year_11_or_equivalent_Females,Highest_year_of_school_completed_Year_11_or_equivalent_Persons,Highest_year_of_school_completed_Year_10_or_equivalent_Males,Highest_year_of_school_completed_Year_10_or_equivalent_Females,Highest_year_of_school_completed_Year_10_or_equivalent_Persons,Highest_year_of_school_completed_Year_9_or_equivalent_Males,Highest_year_of_school_completed_Year_9_or_equivalent_Females,Highest_year_of_school_completed_Year_9_or_equivalent_Persons,Highest_year_of_school_completed_Year_8_or_below_Males,Highest_year_of_school_completed_Year_8_or_below_Females,Highest_year_of_school_completed_Year_8_or_below_Persons,Highest_year_of_school_completed_Did_not_go_to_school_Males,Highest_year_of_school_completed_Did_not_go_to_school_Females,Highest_year_of_school_completed_Did_not_go_to_school_Persons,Count_of_Persons_in_occupied_private_dwellings_Males,Count_of_Persons_in_occupied_private_dwellings_Females,Count_of_Persons_in_occupied_private_dwellings_Persons,Count_of_Persons_in_other_dwellings_Males,Count_of_Persons_in_other_dwellings_Females,Count_of_Persons_in_other_dwellings_Persons
LGA10050,Albury ,7677,9423,17096,2183,2231,4413,5236,5180,10414,1649,1639,3287,1040,1036,2076,134,154,287,22056,23627,45686,2555,2523,5081
LGA10130,Armidale Regional ,5650,6621,12270,698,731,1431,2579,2585,5166,828,828,1651,614,553,1169,37,40,77,11921,12759,24682,2409,2596,5006
LGA10250,Ballina ,6826,7684,14511,1205,1213,2414,4690,5276,9963,1324,1526,2851,824,853,1672,43,48,92,18343,19718,38063,1813,2006,3820
LGA10300,Balranald ,215,299,514,95,108,208,251,190,439,111,75,186,103,79,183,7,6,15,1032,990,2015,277,199,480
LGA10470,Bathurst Regional ,6296,7729,14024,1155,1042,2202,4664,4391,9053,1253,1223,2475,771,689,1466,45,51,98,17733,18358,36098,2905,2219,5124
LGA10550,Bega Valley ,4808,5741,10548,1297,1356,2652,3999,3922,7926,1157,1097,2252,815,714,1525,29,24,56,14367,15028,29394,1787,1823,3607
LGA10600,Bellingen ,1853,2365,4217,393,366,760,1503,1492,2991,516,446,961,270,256,528,10,13,25,5553,5991,11540,567,608,1173
LGA10650,Berrigan ,897,1171,2069,441,483,918,951,858,1809,429,305,736,300,243,539,12,9,25,3628,3621,7247,575,513,1089
LGA10750,Blacktown ,70206,73768,143974,7837,7274,15112,26249,25798,52041,7441,7726,15160,5794,6819,12616,1174,1823,3004,158457,160943,319397,8451,7835,16284
LGA10800,Bland ,555,763,1325,161,150,310,858,733,1596,259,209,469,180,135,319,6,0,7,2585,2563,5149,496,379,877
LGA10850,Blayney ,886,1156,2044,195,193,393,982,905,1885,263,232,497,199,146,341,5,3,8,3261,3339,6597,242,234,481
LGA10900,Blue Mountains ,16049,18355,34409,1957,1992,3950,7416,7774,15192,1720,1882,3601,772,807,1582,72,64,138,34244,36763,71004,2389,2687,5075
LGA10950,Bogan ,281,359,645,89,69,155,354,320,673,118,97,215,83,61,146,4,3,3,1159,1134,2290,246,183,423
LGA11100,Botany Bay ,11886,12292,24186,948,798,1745,2856,2667,5515,733,780,1514,836,1067,1904,233,330,556,21591,21941,43533,2012,1809,3813
LGA11150,Bourke ,251,322,573,72,81,151,256,219,467,90,107,204,76,54,134,10,0,16,1025,1081,2101,531,413,945
LGA11200,Brewarrina ,133,176,312,35,58,96,190,179,365,89,76,165,82,57,141,9,4,7,725,723,1442,159,89,241
LGA11250,Broken Hill ,1691,1978,3674,602,528,1133,2372,2512,4885,822,935,1759,699,649,1353,27,18,38,7637,8138,15769,1087,1066,2152
LGA11300,Burwood ,10977,11539,22516,554,560,1110,1450,1585,3034,462,510,970,627,962,1584,276,383,656,16421,17636,34055,1328,1367,2700
LGA11350,Byron ,6112,7203,13315,944,924,1863,2650,2720,5374,604,597,1196,330,340,670,36,17,58,12922,14120,27040,2853,2937,5788
LGA11400,Cabonne ,1725,2184,3912,338,384,715,1759,1522,3285,502,426,929,383,276,652,16,12,31,6045,6092,12135,453,466,920
LGA11450,Camden ,12888,15206,28094,2181,1938,4117,8819,8239,17051,2056,2119,4182,1004,1048,2052,111,152,267,36220,37829,74049,1675,1755,3424
LGA11500,Campbelltown ,28004,30383,58394,4134,4024,8161,15516,15779,31299,4409,4701,9109,2608,2943,5551,448,712,1159,72742,75335,148076,4165,4474,8634
LGA11520,Canada Bay ,24300,26069,50366,1425,1319,2748,4142,4946,9090,1114,1371,2481,1301,1741,3047,341,472,817,39271,42319,81586,2613,3025,5645
LGA11570,Canterbury-Bankstown ,75950,77302,153256,7019,6341,13366,23087,22735,45825,6743,7247,13987,8962,10636,19596,3342,4725,8070,161837,163433,325271,10006,9960,19965
LGA11600,Carrathool ,324,414,735,90,81,167,377,262,638,112,93,200,105,59,167,8,3,13,1260,1133,2387,192,154,347
