LGA_CODE_2016,LGA,Highest_year_of_school_completed_Year_12_or_equivalent_Males,Highest_year_of_school_completed_Year_12_or_equivalent_Females,Highest_year_of_school_completed_Year_12_or_equivalent_Persons,Highest_year_of_school_completed_Year_11_or_equivalent_Males,Highest_year_of_school_completed_Year_11_or_equivalent_Females,Highest_year_of_school_completed_Year_11_or_equivalent_Persons,Highest_year_of_school_completed_Year_10_or_equivalent_Males,Highest_year_of_school_completed_Year_10_or_equivalent_Females,Highest_year_of_school_completed_Year_10_or_equivalent_Persons,Highest_year_of_school_completed_Year_9_or_equivalent_Males,Highest_year_of_school_completed_Year_9_or_equivalent_Females,Highest_year_of_school_completed_Year_9_or_equivalent_Persons,Highest_year_of_school_completed_Year_8_or_below_Males,Highest_year_of_school_completed_Year_8_or_below_Females,Highest_year_of_school_completed_Year_8_or_below_Persons,Highest_year_of_school_completed_Did_not_go_to_school_Males,Highest_year_of_school_completed_Did_not_go_to_school_Females,Highest_year_of_school_completed_Did_not_go_to_school_Persons,Count_of_Persons_in_occupied_private_dwellings_Males,Count_of_Persons_in_occupied_private_dwellings_Females,Count_of_Persons_in_occupied_private_dwellings_Persons,Count_of_Persons_in_other_dwellings_Males,Count_of_Persons_in_other_dwellings_Females,Count_of_Persons_in_other_dwellings_Persons
LGA11650,Central Coast ,50879,56725,107606,9614,9137,18744,39168,42386,81551,11066,12641,23708,5782,6243,12032,440,373,808,147250,156757,304009,9276,10279,19558
LGA11700,Central Darling ,164,174,332,56,56,114,187,195,376,99,78,174,101,58,156,8,0,7,796,718,1512,299,210,509
LGA11720,Cessnock ,5387,6752,12134,1727,1639,3367,7958,7506,15465,2421,2739,5164,1383,1382,2770,66,53,114,24593,25500,50094,2924,2375,5294
LGA11730,Clarence Valley ,5952,6817,12770,1385,1540,2928,7089,7426,14515,2289,2194,4488,1561,1307,2870,75,56,132,22562,23161,45725,3278,2980,6257
LGA11750,Cobar ,451,614,1068,157,152,311,636,482,1122,174,147,327,152,93,241,6,8,13,2044,1952,3995,540,351,892
LGA11800,Coffs Harbour ,10723,12364,23088,2234,2259,4494,8464,9121,17580,2572,2604,5177,1610,1463,3073,159,188,349,32084,34346,66425,3983,4175,8156
LGA12000,Coolamon ,408,593,1000,119,108,231,595,523,1117,202,186,390,134,83,216,3,4,7,1886,1886,3774,205,208,413
LGA12150,Coonamble ,342,516,866,109,121,235,432,386,825,168,130,295,173,104,274,15,11,28,1615,1610,3227,346,363,713
LGA12350,Cowra ,1294,1634,2929,306,380,683,1792,1720,3510,608,550,1160,492,352,842,24,15,39,5537,5643,11184,585,623,1206
LGA12380,Cumberland ,50758,48008,98764,4375,3632,8007,13473,12605,26075,4188,3840,8031,5853,5773,11626,3215,3299,6512,105092,98947,204036,5436,5577,11012
LGA12700,Dungog ,989,1336,2325,257,243,506,1402,1238,2642,377,322,702,235,184,417,9,7,13,4062,4121,8185,332,318,654
LGA12730,Edward River ,1009,1339,2347,412,360,775,983,907,1893,372,351,724,276,217,491,28,18,41,3799,3869,7665,555,544,1101
LGA12750,Eurobodalla ,5464,6116,11587,1100,1208,2309,4742,4847,9593,1496,1505,3000,960,846,1810,45,36,77,16110,16821,32936,1935,1953,3892
LGA12850,Fairfield ,38475,39148,77619,4651,4098,8744,13799,12876,26677,4865,5039,9903,7238,9339,16582,4071,6435,10505,93407,96085,189496,4148,4483,8635
LGA12870,Federation ,1299,1746,3044,680,688,1366,1516,1274,2792,537,442,980,403,336,735,19,12,26,5410,5486,10897,625,608,1230
LGA12900,Forbes ,1078,1364,2443,288,300,583,1214,1150,2366,415,341,762,342,198,546,17,7,24,4222,4181,8402,647,576,1227
LGA12930,Georges River ,39173,40458,79629,2848,2554,5398,8181,9282,17460,2393,2952,5344,2350,3150,5494,731,1079,1810,68206,71090,139295,3291,3854,7147
LGA12950,Gilgandra ,393,548,943,106,128,233,579,552,1130,213,198,409,192,132,327,3,9,9,1842,1911,3749,213,210,416
LGA13010,Glen Innes Severn ,929,1188,2114,209,233,436,1141,1172,2314,404,328,734,334,289,621,10,14,27,3688,3904,7596,640,487,1129
LGA13310,Goulburn Mulwaree ,3969,4545,8512,787,800,1596,3746,3668,7412,1107,1073,2177,743,621,1364,76,50,129,13028,13288,26315,2140,1266,3410
LGA13340,Greater Hume Shire ,1182,1550,2731,401,419,815,1336,1144,2475,470,343,809,296,203,502,12,8,17,4730,4677,9409,356,441,792
LGA13450,Griffith ,3198,3722,6924,732,696,1428,3119,2820,5944,811,771,1577,846,772,1617,146,150,292,11297,11371,22664,1476,1309,2788
LGA13510,Gundagai ,1245,1591,2836,300,324,626,1579,1481,3058,479,474,951,366,325,691,12,17,29,4908,5037,9950,511,466,977
LGA13550,Gunnedah ,1353,1739,3092,325,351,677,1651,1525,3178,497,431,922,401,275,679,24,19,42,5547,5549,11098,607,533,1143
LGA13660,Gwydir ,550,731,1285,124,142,271,674,623,1296,227,197,420,234,158,396,7,3,9,2343,2268,4605,357,305,663
LGA13800,Hawkesbury ,9085,11340,20424,1897,1813,3716,8886,8091,16979,2251,2062,4310,1214,1038,2253,105,77,181,29565,30285,59845,2243,2100,4345
LGA13850,Hay ,323,442,770,123,96,222,331,291,625,127,100,234,121,90,213,7,0,8,1222,1234,2459,298,232,530
LGA13910,Hilltops ,2024,2682,4706,506,631,1134,2496,2253,4749,785,743,1527,591,484,1078,44,34,83,8256,8497,16755,730,769,1496
LGA14000,Hornsby ,38406,40431,78835,2846,2779,5625,7860,9034,16898,2091,2372,4471,1069,1310,2379,286,372,659,66034,68997,135035,2631,3542,6179
LGA14100,Hunters Hill ,3717,3876,7588,355,229,584,637,762,1398,272,216,485,137,154,292,18,33,50,5869,6237,12114,984,705,1687
LGA14170,Inner West ,51325,56003,107333,3016,2699,5720,7750,7384,15133,1958,2004,3959,2766,3514,6280,787,1225,2004,79169,84283,163454,8439,7856,16294
LGA14200,Inverell ,1813,2312,4125,415,471,883,2106,2103,4216,701,660,1366,582,420,1001,24,19,41,7234,7544,14774,758,794,1553
LGA14300,Junee ,590,751,1342,166,155,320,758,655,1419,223,209,426,137,126,266,4,11,14,2383,2420,4798,1083,261,1343
LGA14350,Kempsey ,2937,3449,6386,832,767,1602,3815,3968,7785,1396,1347,2747,969,871,1840,48,30,79,12515,12888,25405,2081,1712,3792
LGA14400,Kiama ,4165,4444,8612,584,556,1139,2316,2515,4829,575,624,1200,315,300,613,24,15,37,9519,9909,19435,748,819,1569
LGA14500,Ku-ring-gai ,34783,37172,71951,1950,2391,4344,3439,5039,8476,1390,1604,2999,615,765,1384,132,202,333,53587,57723,111307,2284,3189,5471
LGA14550,Kyogle ,1033,1212,2247,286,289,571,1311,1183,2494,383,309,692,310,241,555,10,9,24,4024,3966,7996,476,430,904
LGA14600,Lachlan ,640,868,1508,137,180,321,786,662,1442,241,224,464,213,159,373,24,12,32,2667,2667,5335,424,368,792
LGA14650,Lake Macquarie ,28991,32848,61835,5970,5245,11214,25882,26715,52598,7671,8779,16445,3800,3925,7723,236,213,446,90151,94744,184894,3970,4667,8635
LGA14700,Lane Cove ,11076,11698,22777,658,521,1177,1105,1391,2492,361,364,723,216,202,415,46,57,103,16283,17174,33460,1381,1197,2581
LGA14750,Leeton ,1090,1365,2453,320,372,694,1571,1458,3037,450,438,888,392,271,667,25,17,41,4774,4815,9585,775,792,1566
LGA14850,Lismore ,6653,7613,14267,1192,1329,2518,4984,5384,10370,1445,1308,2752,945,905,1850,54,49,107,18931,20005,38934,2119,2164,4287
LGA14870,Lithgow ,2185,2755,4940,594,595,1184,3130,2801,5933,835,870,1702,585,514,1104,32,17,49,9006,9144,18148,1513,1046,2554
LGA14900,Liverpool ,39725,42643,82371,4962,4312,9275,15715,14367,30077,4350,4484,8829,4454,5372,9827,1669,2466,4141,94136,96150,190283,7371,6883,14256
LGA14920,Liverpool Plains ,796,994,1791,202,234,439,1068,999,2066,333,331,664,291,166,456,14,11,25,3429,3358,6794,362,356,719
LGA14950,Lockhart ,322,433,757,95,103,198,442,383,823,129,107,235,115,53,169,3,3,4,1363,1375,2731,125,176,306
LGA15050,Maitland ,10200,12298,22498,2432,2282,4711,10114,10113,20223,2806,3108,5912,1348,1401,2747,83,67,153,35295,37138,72432,1890,1960,3851
LGA15240,Mid-Coast ,10447,11955,22398,2526,2580,5108,12801,13624,26425,4401,4619,9023,2787,2406,5199,111,96,211,39889,41917,81805,3934,4116,8051
LGA15270,Mid-Western Regional ,2787,3526,6312,729,669,1403,3212,2841,6056,895,838,1736,670,522,1198,30,30,62,10597,10470,21066,1525,1370,2895
LGA15300,Moree Plains ,1501,1897,3399,351,397,750,1515,1325,2839,523,405,928,430,262,687,40,22,55,5664,5613,11277,1235,1036,2270
LGA15350,Mosman ,8282,9512,17798,413,616,1027,671,1219,1892,239,323,555,102,119,222,26,17,45,11848,13865,25708,976,1160,2136
LGA15520,Murray River ,1298,1746,3045,764,825,1590,1195,966,2166,566,451,1021,424,334,759,22,7,26,5109,5211,10322,736,660,1396
LGA15560,Murrumbidgee ,407,511,920,136,139,281,498,380,878,169,120,292,164,101,261,0,7,9,1712,1570,3282,268,210,479
LGA15650,Muswellbrook ,1642,2034,3682,534,513,1044,2286,1987,4270,643,650,1294,394,340,739,23,18,38,7343,7182,14532,1003,610,1610
LGA15700,Nambucca ,2239,2606,4837,547,572,1123,2616,2683,5297,879,938,1815,590,484,1070,29,22,48,8582,8899,17481,924,910,1829
LGA15750,Narrabri ,1455,1805,3259,382,360,738,1622,1518,3144,548,436,980,416,278,698,26,16,34,5757,5743,11499,1142,820,1958
LGA15800,Narrandera ,545,739,1285,180,164,346,755,706,1461,250,243,492,211,142,354,18,11,30,2494,2552,5049,417,396,812
LGA15850,Narromine ,691,928,1613,172,178,347,847,748,1592,276,245,515,198,146,343,12,8,18,2828,2839,5663,328,342,671
LGA15900,Newcastle ,31522,33709,65230,4060,3560,7617,15737,15833,31571,4487,5079,9571,2447,2715,5164,253,327,580,70240,72549,142790,5838,5875,11710
LGA15950,North Sydney ,21992,24631,46624,868,1063,1928,1604,2349,3948,383,468,852,236,256,488,49,82,127,28428,32128,60560,3398,3360,6762
LGA15990,Northern Beaches ,64028,67740,131771,5532,5370,10904,15699,17844,33543,3819,4186,8012,2097,2334,4424,354,392,751,114466,119855,234328,6574,7664,14240
LGA16100,Oberon ,623,759,1384,140,137,272,772,643,1414,181,190,376,148,98,248,11,4,13,2274,2218,4492,429,296,727
LGA16150,Orange ,5879,7228,13101,1013,1105,2115,4568,4582,9154,1293,1353,2644,901,872,1774,71,70,146,17609,18819,36425,2209,1968,4176
LGA16200,Parkes ,1655,1997,3651,390,460,848,1917,1830,3748,548,536,1087,438,348,780,20,15,34,6353,6499,12852,769,804,1566
LGA16260,Parramatta ,62790,63152,125946,3785,3511,7301,10965,11789,22755,3155,3553,6707,2285,2804,5092,1025,1210,2234,103624,104967,208589,10851,8899,19751
LGA16350,Penrith ,31100,35557,66656,5596,5097,10687,23100,22249,45345,5886,5781,11663,3423,3641,7063,409,516,927,90341,92879,183219,6103,5977,12079
LGA16380,Port Macquarie-Hastings ,10925,12688,23613,2453,2505,4960,9692,10930,20624,3125,3187,6316,1732,1667,3395,76,74,151,34417,37333,71753,3422,3651,7074
LGA16400,Port Stephens ,9191,10297,19488,2237,2055,4288,9458,9502,18960,2812,3014,5827,1341,1244,2585,102,76,174,30890,32036,62924,3042,2933,5979
LGA16490,Queanbeyan-Palerang Regional ,11928,12799,24724,1504,1305,2801,4748,4492,9241,1281,1156,2430,882,827,1707,82,95,181,25486,25547,51031,2857,2280,5144
LGA16550,Randwick ,40046,42865,82913,2340,2225,4569,5959,6491,12448,1668,1836,3509,1415,1843,3261,314,449,759,59888,64014,123906,9193,7344,16537
LGA16610,Richmond Valley ,2198,2719,4915,663,680,1350,3226,3203,6427,1115,954,2067,811,739,1548,40,20,60,10292,10501,20790,1149,1157,2306
LGA16650,Rockdale ,28360,28809,57176,2174,1912,4089,6384,6548,12934,1611,1768,3379,2185,2847,5029,566,923,1487,50348,51346,101689,3744,4024,7774
LGA16700,Ryde ,33789,35699,69482,1855,1726,3579,5181,6042,11221,1491,1772,3268,1375,1816,3193,417,610,1024,52717,55763,108478,3940,4095,8037
LGA16900,Shellharbour ,8945,10078,19018,2122,2054,4181,9270,9459,18732,2431,2696,5129,1510,1663,3171,148,186,333,31321,32820,64137,1587,1785,3369
LGA16950,Shoalhaven ,13223,15026,28243,2949,2756,5708,13072,13592,26663,4298,4330,8627,2417,2222,4639,118,100,217,43595,45480,89073,4878,4051,8934
LGA17000,Singleton ,2873,3290,6167,923,669,1594,3291,2868,6159,828,837,1667,479,395,871,25,13,37,10305,10236,20541,1597,882,2480
LGA17040,Snowy Monaro Regional ,3466,3752,7214,588,574,1170,2359,1989,4347,622,536,1152,432,352,785,42,27,64,9017,8717,17740,8353,6493,14847
LGA17080,Snowy Valleys ,1570,1975,3546,484,486,974,1895,1783,3679,630,508,1140,463,317,780,27,16,44,6302,6269,12572,969,690,1661
LGA17100,Strathfield ,12565,12033,24601,622,555,1177,1462,1570,3031,439,486,919,494,663,1156,203,291,490,18729,18468,37202,1416,1222,2639
LGA17150,Sutherland Shire ,47217,51280,98500,5420,4588,10008,21151,22077,43227,4413,5377,9787,2145,2645,4794,286,329,609,100769,105247,206020,4223,5153,9379
LGA17200,Sydney ,73199,69848,143048,3314,2620,5931,5965,5074,11036,1649,1515,3167,1456,1643,3093,601,770,1370,88015,84372,172394,30646,22694,53339
LGA17310,Tamworth Regional ,7547,9367,16912,1610,1683,3294,7364,7519,14878,2248,2244,4489,1500,1264,2768,96,85,181,25983,27555,53537,3110,2804,5914
LGA17350,Temora ,618,778,1398,176,165,339,892,889,1781,305,272,574,188,184,367,8,8,16,2778,2815,5594,200,201,402
LGA17400,Tenterfield ,752,918,1665,194,201,399,868,884,1752,287,272,563,236,162,396,14,5,20,2868,2952,5815,445,467,910
LGA17420,The Hills Shire ,40068,41827,81897,3365,3065,6434,10133,11282,21413,2613,2759,5373,1324,1539,2861,294,368,656,74456,76806,151270,2265,2537,4799
LGA17550,Tweed ,13618,15452,29064,2955,2965,5921,10918,11895,22811,2967,3142,6117,1972,2022,3996,95,100,199,40176,43291,83464,4798,5169,9964
LGA17620,Upper Hunter Shire ,1587,2145,3723,364,380,746,1940,1635,3576,540,512,1054,407,301,707,20,14,30,6141,6329,12467,769,756,1527
LGA17640,Upper Lachlan Shire ,1022,1266,2287,179,239,422,1050,860,1910,321,252,571,258,168,423,11,5,16,3494,3366,6858,352,330,673
LGA17650,Uralla ,833,1101,1937,137,161,299,741,708,1449,222,182,400,172,121,300,10,4,13,2669,2826,5493,199,214,416
LGA17750,Wagga Wagga ,9781,11909,21694,1941,1774,3710,6884,6897,13784,2031,1930,3960,1277,1101,2377,118,93,213,27165,28907,56079,3988,3206,7196
LGA17850,Walcha ,391,483,872,71,78,147,406,343,748,132,123,257,92,63,157,5,3,6,1344,1343,2689,198,195,401
LGA17900,Walgett ,685,737,1422,178,195,375,720,598,1319,289,217,506,282,159,442,34,21,53,2724,2467,5194,705,622,1326
LGA17950,Warren ,344,441,780,58,63,123,342,278,621,114,92,203,69,46,118,14,4,14,1190,1152,2346,146,156,306
LGA18020,Warrumbungle Shire ,994,1281,2278,240,271,509,1220,1180,2397,453,354,813,381,237,615,11,4,17,4054,4015,8071,638,650,1296
LGA18050,Waverley ,19668,21331,40994,1035,956,1990,2044,2215,4258,535,561,1098,363,437,802,68,78,142,28257,30013,58269,3999,4152,8150
LGA18100,Weddin ,430,495,928,92,102,197,493,500,992,179,146,326,139,93,226,3,3,5,1614,1599,3207,162,169,330
LGA18200,Wentworth ,687,899,1588,429,393,819,729,557,1281,291,265,554,267,195,457,15,8,22,3017,2890,5910,753,515,1268
LGA18230,Western Plains Regional ,6414,8216,14629,1280,1478,2760,6037,5837,11876,1706,1664,3369,1162,973,2138,72,67,133,21339,22806,44147,3677,3011,6687
LGA18250,Willoughby ,22070,24091,46166,1063,1139,2202,2074,2692,4761,687,855,1543,568,742,1314,157,267,425,33145,35845,68987,2524,3005,5531
LGA18350,Wingecarribee ,8410,9787,18196,1283,1468,2749,5166,5628,10796,1367,1472,2842,698,667,1366,60,53,109,20646,22436,43082,1796,2328,4121
LGA18400,Wollondilly ,6404,8259,14659,1397,1286,2681,6965,5983,12948,1610,1458,3068,802,662,1462,68,46,114,22654,22811,45469,1189,1241,2427
LGA18450,Wollongong ,37691,39727,77418,5512,4804,10320,21878,21934,43808,5908,6544,12452,4297,5219,9520,557,835,1393,92998,95620,188613,6473,6576,13050
LGA18500,Woollahra ,16226,18631,34855,763,917,1680,1176,1834,3005,432,507,941,217,260,476,43,54,88,22175,25544,47719,2715,3262,5977
LGA18710,Yass Valley ,3114,3555,6675,437,434,867,1443,1397,2838,365,335,705,235,192,422,21,14,28,7251,7516,14772,574,564,1137
